job_id,split
1,test
2,train
3,train
5,test
6,train
7,train
8,train
9,train
10,test
11,train
12,test
13,train
14,train
15,train
16,test
17,train
18,train
19,train
20,train
21,test
22,train
23,train
24,train
25,train
26,train
27,train
29,train
30,train
31,train
32,test
33,train
34,test
35,test
36,test
38,train
39,test
40,train
41,train
42,train
43,test
44,train
45,test
46,train
47,train
48,train
49,test
51,train
52,test
53,train
54,train
55,test
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,test
69,train
71,train
72,train
73,train
74,train
75,train
76,test
77,train
78,train
80,test
81,train
82,train
84,test
85,train
86,train
87,test
88,test
89,train
90,train
91,train
92,train
93,test
94,train
95,train
96,test
97,train
98,train
99,train
100,test
101,test
102,train
103,test
104,test
105,train
106,train
107,train
108,train
109,test
110,train
112,test
113,train
114,train
115,test
116,test
117,test
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,train
128,test
129,train
130,train
131,train
132,test
133,train
134,train
135,train
136,train
137,train
138,train
139,train
140,test
141,train
142,train
144,train
145,test
146,train
147,train
148,train
149,train
150,train
152,train
153,train
154,train
155,train
157,train
158,train
159,train
160,train
161,test
163,train
164,train
166,train
167,train
169,train
170,train
172,train
173,train
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,test
187,train
188,train
189,train
190,test
191,train
192,train
193,train
194,test
195,train
196,train
197,train
198,train
199,train
200,train
201,train
202,test
203,train
205,train
206,test
207,train
208,train
209,train
210,train
211,train
212,train
213,train
214,train
215,train
216,train
217,train
218,test
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,test
229,train
230,train
231,train
232,test
233,train
234,test
235,test
236,test
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,train
258,train
259,train
260,train
261,train
262,train
263,test
264,train
265,test
266,test
267,train
268,train
269,test
270,train
271,train
272,train
273,train
274,train
275,train
276,train
277,test
278,train
279,train
280,train
281,test
282,train
283,test
284,train
285,test
286,train
287,train
288,train
289,train
290,train
291,train
292,test
293,train
294,train
295,train
296,train
297,train
298,train
299,train
300,train
301,train
302,train
303,train
304,test
305,train
306,test
307,train
308,test
309,test
310,train
311,test
312,train
313,test
314,train
315,train
316,train
317,test
318,train
319,train
320,train
321,test
322,test
323,train
324,train
325,train
326,train
327,train
328,train
329,test
330,train
331,train
332,train
333,test
334,test
335,train
336,test
338,train
339,train
340,test
341,train
342,train
343,train
345,train
346,train
347,train
349,train
350,train
351,test
352,train
353,train
354,test
355,train
356,test
357,train
358,train
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,test
368,train
369,train
370,train
371,train
372,train
373,train
375,train
377,train
379,train
380,train
381,test
382,train
384,train
385,test
386,train
387,train
388,train
390,train
392,train
393,train
395,test
396,train
397,train
398,train
399,train
401,train
402,test
403,train
404,train
405,train
406,train
407,train
408,test
409,train
410,train
411,train
413,train
414,train
415,train
417,train
418,train
419,test
420,train
421,train
422,train
423,train
425,train
426,train
427,train
428,train
429,train
430,test
432,test
433,train
435,train
436,train
437,train
438,train
440,train
441,train
442,test
443,test
445,test
446,test
448,test
449,train
450,train
452,train
453,test
454,test
455,train
456,train
457,train
458,train
459,train
460,train
461,train
462,test
463,train
465,test
466,test
467,test
468,train
469,train
470,train
471,train
472,train
473,test
475,train
476,train
477,train
478,train
479,test
480,train
481,train
482,train
483,train
484,train
485,train
486,train
487,train
490,train
491,train
492,test
494,train
495,train
496,train
497,train
498,test
500,train
502,test
504,train
505,train
506,train
507,test
508,train
511,train
512,train
513,test
514,train
515,test
516,test
517,test
518,train
519,train
520,test
521,train
522,train
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
531,test
532,train
533,train
534,train
535,test
536,train
537,train
538,train
539,train
540,train
541,train
542,train
543,train
544,test
545,train
546,train
547,train
548,test
549,train
550,train
551,train
552,train
553,train
554,train
555,train
556,train
557,train
558,test
559,train
560,train
561,train
562,train
563,train
564,train
565,train
566,test
567,train
568,train
569,train
570,train
571,train
572,train
573,train
574,train
575,train
576,train
577,train
578,train
579,train
580,test
581,test
582,train
583,train
584,train
585,train
586,train
587,train
588,train
589,train
590,test
591,test
592,train
593,train
594,train
595,train
596,train
597,test
598,train
599,train
600,train
601,train
602,test
603,train
604,train
605,train
606,train
607,train
608,train
609,train
610,test
611,test
612,train
613,test
614,train
615,train
616,test
617,train
618,train
619,train
620,train
621,test
622,train
623,train
624,test
625,test
626,train
627,train
628,train
629,train
630,test
631,train
632,train
633,train
634,test
635,train
636,train
637,train
638,test
639,train
640,test
641,train
642,train
643,train
644,train
646,train
647,train
648,train
649,train
650,train
651,train
652,train
653,train
654,test
655,train
656,train
657,test
658,train
